Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603,146.7511,-111.9886,180.0000,top
C2,0.1uF,C_0603,142.1511,-108.1786,0.0000,top
C3,0.1uF,C_0603,140.4000,-95.8200,90.0000,top
C4,0.1uF,C_0603,153.3600,-101.3400,-90.0000,top
C5,0.1uF,C_0603,147.6500,-95.8200,90.0000,top
C6,10uF,C_1210,150.9700,-95.1400,90.0000,top
C7,10uF,C_1210,143.3800,-95.1550,90.0000,top
D1,LED_RGBA,LED-SMD_LTST-S310F3WT,154.0600,-86.8642,0.0000,top
L1,3.3uH,L_0805,142.1500,-102.5000,0.0000,top
PWR,SW_SPDT_321,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,165.8800,-88.5100,180.0000,top
Q1,MMBT4403,SOT-23-3,141.9000,-99.6000,180.0000,top
R1,12k,R_0603,142.1511,-104.3686,0.0000,top
R2,8.2K,R_0603,142.1511,-106.2736,0.0000,top
R3,100,R_0603,142.1511,-110.0836,0.0000,top
R4,100,R_0603,142.1511,-111.9886,0.0000,top
R5,43R,R_0603,167.0100,-104.5600,0.0000,top
R6,10k,R_0603,154.7000,-95.5700,-90.0000,top
R7,10R,R_0603,167.0100,-102.0200,0.0000,top
R8,10R,R_0603,167.0100,-99.4800,0.0000,top
SW1,SW_Push,Panasonic_EVQPUJ_EVQPUA,146.3750,-87.7500,0.0000,top
U1,HX711,SOIC-16_3.9x9.9mm_P1.27mm,148.5011,-105.0036,0.0000,top
